Ave,σ,Ave,σ,Ave,σ,Ave,σ
3006.5,2444.05135,1600,13.51542329,1039.5,25.51470164,1761.75,95.62905765
3021,2474.401342,1597.25,13.37597348,1038.75,25.72126228,1759.75,94.5846182
3035,2505.048636,1594.25,13.6961065,1037.5,25.51470164,1759.5,95.05963041
3049.75,2535.212729,1591.25,13.35102992,1037.25,25.61737691,1759.25,95.74401635
3064.25,2565.539758,1588.75,13.59840677,1036.75,25.83763405,1759,95.84362264
3078.25,2596.181475,1586.25,13.88944443,1034.75,24.9849955,1758,95.84362264
3093.25,2626.148051,1583,13.51542329,1033.75,24.9849955,1757.5,95.23829762
3107,2656.982248,1580.75,14.103782,1033.5,24.77229635,1756.25,95.17483911
3121.75,2687.140906,1578,13.73559852,1032.5,24.77229635,1755.75,95.38474721
3136.5,2717.299824,1575.75,13.1497782,1031.5,24.67792536,1755.5,95.98784645
